Date,Country,Local,Industry,Accident_level,Pot_acc_level,Gender,Emp_type,Critical_risk,Description,Day,Month,Year,Weekday
2016-01-01,country_01,local_01,mining,1,4,male,third party,pressed,"while removing the drill rod of the jumbo 08 for maintenance, the supervisor proceeds to loosen the support of the intermediate centralizer to facilitate the removal, seeing this the mechanic supports one end on the drill of the equipment to pull with both hands the bar and accelerate the removal from this, at this moment the bar slides from its point of support and tightens the fingers of the mechanic between the drilling bar and the beam of the jumbo.",1,1,2016,<built-in method day_name of Timestamp object at 0x000001B2C7C3CF48>
2016-01-02,country_02,local_02,mining,1,4,male,employee,pressurized systems,"during the activation of a sodium sulphide pump, the piping was uncoupled and the sulfide solution was designed in the area to reach the maid. immediately she made use of the emergency shower and was directed to the ambulatory doctor and later to the hospital. note: of sulphide solution = 48 grams / liter.",2,1,2016,<built-in method day_name of Timestamp object at 0x000001B2C7C3CEC8>
2016-01-06,country_01,local_03,mining,1,3,male,third party (remote),manual tools,"in the sub-station milpo located at level +170 when the collaborator was doing the excavation work with a pick (hand tool), hitting a rock with the flat part of the beak, it bounces off hitting the steel tip of the safety shoe and then the metatarsal area of ​​the left foot of the collaborator causing the injury.",6,1,2016,<built-in method day_name of Timestamp object at 0x000001B2C7C3CE48>
2016-01-08,country_01,local_04,mining,1,1,male,third party,others,"being 9:45 am. approximately in the nv. 1880 cx-695 ob7, the personnel begins the task of unlocking the soquet bolts of the bhb machine, when they were in the penultimate bolt they identified that the hexagonal head was worn, proceeding mr. cristóbal - auxiliary assistant to climb to the platform to exert pressure with your hand on the ""dado"" key, to prevent it from coming out of the bolt; in those moments two collaborators rotate with the lever in anti-clockwise direction, leaving the key of the bolt, hitting the palm of the left hand, causing the injury.",8,1,2016,<built-in method day_name of Timestamp object at 0x000001B2C7C3CDC8>
2016-01-10,country_01,local_04,mining,4,4,male,third party,others,"approximately at 11:45 a.m. in circumstances that the mechanics anthony (group leader), eduardo and eric fernández-injured-the three of the company impromec, performed the removal of the pulley of the motor of the pump 3015 in the zaf of marcy. 27 cm / length: 33 cm / weight: 70 kg), as it was locked proceed to heating the pulley to loosen it, it comes out and falls from a distance of 1.06 meters high and hits the instep of the right foot of the worker, causing the injury described.",10,1,2016,<built-in method day_name of Timestamp object at 0x000001B2C7C3CD48>
2016-01-12,country_02,local_05,metals,1,3,male,third party (remote),pressurized systems,"during the unloading operation of the ustulado bag there was a need to unclog the discharge mouth of the silo truck. in performing this procedure, there was a maneuver of unhooking the hose without the total depressurisation of the mouth, projecting ustulado powder in the collaborator caused irritation in the eyes.",12,1,2016,<built-in method day_name of Timestamp object at 0x000001B2C7C3CCC8>
2016-01-16,country_02,local_05,metals,1,3,male,employee,fall prevention (same level),"the collaborator reports that he was on street 09 holding in his left hand the volumetric balloon, when he slipped and when placing his hand on the ground the volumetric balloon ended up breaking caused a small wound in his left hand.",16,1,2016,<built-in method day_name of Timestamp object at 0x000001B2C7C3CC48>
2016-01-17,country_01,local_04,mining,1,3,male,third party,pressed,"at approximately 04:50 p.m., when the mechanic technician josé of the tecnomin verified the transmission belts of the hm-100 pump at the acid plant, he proceeded to turn the pulley manually; unexpectedly at that instant the electrician supervisor miguel of the eka mining grabs the transmission belts to verify their tension, at which point the finger traps.",17,1,2016,<built-in method day_name of Timestamp object at 0x000001B2C7C3CBC8>
2016-01-19,country_02,local_02,mining,1,4,male,third party (remote),others,"employee was sitting in the resting area at level 326 (raise bore), when he suffered sudden illness, falling and suffering excoriation on the face.",19,1,2016,<built-in method day_name of Timestamp object at 0x000001B2C7C3CB48>
2016-01-26,country_01,local_06,metals,1,2,male,third party,chemical substances,"at the moment the forklift operator went to manipulate big bag of bioxide in section 70 and just in front of the ladder that leads to the area of ​​manual displacement, he splashed spent at the height of his forehead from a fissure in pipe g -069, subsequently spilling to his left eye. the collaborator went to the nearby eyewash for cleaning and immediately to the medical center.",26,1,2016,<built-in method day_name of Timestamp object at 0x000001B2C7C3CAC8>
